id,text,transcript,filename,tts_distance
39,from this perspective you can see the concentric circles,from this perspective you can see the concentric circles,k_generated_audio/tts2024-03-09--09-37-51/from this perspective you can see the concentric circles.wav,0
40,he must be disguised to avoid encounters with thieves,he must be disguised to avoid encounters with thieves,k_generated_audio/tts2024-03-09--09-37-51/he must be disguised to avoid encounters with thieves.wav,0
41,ogilvy watched till one and then gave up,ill leave watch till one and then gate,k_generated_audio/tts2024-03-09--09-37-51/ogilvy watched till one and then gave up.wav,13
42,i dont know where to go,i dont know where to go,k_generated_audio/tts2024-03-09--09-37-51/i dont know where to go.wav,0
43,his speech ended in standing ovations,is speechended in standing revations,k_generated_audio/tts2024-03-09--09-37-51/his speech ended in standing ovations.wav,4
44,in a way so am i he said,in a way so am i he say,k_generated_audio/tts2024-03-09--09-37-51/in a way so am i he said.wav,2
45,when the sun sets the men will once again surrender their arms to me,when the sun sets the man will once again surrender their arms to me,k_generated_audio/tts2024-03-09--09-37-51/when the sun sets the men will once again surrender their arms to me.wav,1
46,i was scared but wasted no time in going out and crossing the bridge to the sand pits,i was scared but wasted no time in going out and crossing the bridge to the centate,k_generated_audio/tts2024-03-09--09-37-51/i was scared but wasted no time in going out and crossing the bridge to the sand pits.wav,7
47,we must be good,we must be gay,k_generated_audio/tts2024-03-09--09-37-51/we must be good.wav,3
48,he almost began to tell about his treasure but decided not to do so,he almost began to tell about his treasure but decided not to do so,k_generated_audio/tts2024-03-09--09-37-51/he almost began to tell about his treasure but decided not to do so.wav,0
49,not even the tribal chieftains are able to see him when they want to,not even the tribal chiefs are able to see him when they want to,k_generated_audio/tts2024-03-09--09-37-51/not even the tribal chieftains are able to see him when they want to.wav,4
50,why didnt you tell me,why didnt you tell me,k_generated_audio/tts2024-03-09--09-37-51/why didnt you tell me.wav,0
51,they could barely see the boy,they could barely see the boat,k_generated_audio/tts2024-03-09--09-37-51/they could barely see the boy.wav,2
52,our generator has been disrupted by ultra high frequency waves,our generator has been disrupted by ultra high frequency waves,k_generated_audio/tts2024-03-09--09-37-51/our generator has been disrupted by ultra high frequency waves.wav,0
53,he needed someone to talk to so as to avoid thinking about the possibility of war,he needed someone to talk to so as to avoid thinking about the possibility of why,k_generated_audio/tts2024-03-09--09-37-51/he needed someone to talk to so as to avoid thinking about the possibility of war.wav,2
54,almost everyone here speaks spanish,almost everyone here speaks fans,k_generated_audio/tts2024-03-09--09-37-51/almost everyone here speaks spanish.wav,4
55,the report was largely scathing,the report was largely skate,k_generated_audio/tts2024-03-09--09-37-51/the report was largely scathing.wav,5
56,no one attacks an oasis,no one attacks and it always sees,k_generated_audio/tts2024-03-09--09-37-51/no one attacks an oasis.wav,12
57,wheres the old goat,who are the old goat,k_generated_audio/tts2024-03-09--09-37-51/wheres the old goat.wav,4
58,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war,before guns were invented armies had to throw bullets at each other and if a bullet touched you had to sit out until the next wall,k_generated_audio/tts2024-03-09--09-37-51/before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war.wav,6
59,it was the time of day when all of spain slept during the summer,it was the time of day when all of spain slept during the summer,k_generated_audio/tts2024-03-09--09-37-51/it was the time of day when all of spain slept during the summer.wav,0
60,there were mountains in the distance,there were mountains in the distance,k_generated_audio/tts2024-03-09--09-37-51/there were mountains in the distance.wav,0
61,excuse you for what,excuse you for a wife,k_generated_audio/tts2024-03-09--09-37-51/excuse you for what.wav,5
62,yesterday i waited forever for the subway train,mr day i waited for her for the subway trade,k_generated_audio/tts2024-03-09--09-37-51/yesterday i waited forever for the subway train.wav,10
63,ill go right after it,well go right after it,k_generated_audio/tts2024-03-09--09-37-51/ill go right after it.wav,2
64,just make yourselves at home,just make yourselves at home,k_generated_audio/tts2024-03-09--09-37-51/just make yourselves at home.wav,0
65,and youve told me about omens,and youve told me about almonds,k_generated_audio/tts2024-03-09--09-37-51/and youve told me about omens.wav,4
66,where was his horse,where was his horse,k_generated_audio/tts2024-03-09--09-37-51/where was his horse.wav,0
67,it was glaringly hot not a cloud in the sky nor a breath of wind,it was glaringly hot not a cloud in the sky and more a breath of wind,k_generated_audio/tts2024-03-09--09-37-51/it was glaringly hot not a cloud in the sky nor a breath of wind.wav,5
68,compiling the linux kernel can be time consuming,compiling the linux kernel can be time consuming,k_generated_audio/tts2024-03-09--09-37-51/compiling the linux kernel can be time consuming.wav,0
69,if that guy lays an egg,if that guy lays an end,k_generated_audio/tts2024-03-09--09-37-51/if that guy lays an egg.wav,2
70,the brass lamp had been disturbed,the brass line had been disturbed,k_generated_audio/tts2024-03-09--09-37-51/the brass lamp had been disturbed.wav,3
71,sadly my dream of becoming a squirrel whisperer may never happen,sadly my dream of becoming a squirrel whisper may never happen in,k_generated_audio/tts2024-03-09--09-37-51/sadly my dream of becoming a squirrel whisperer may never happen.wav,5
72,who do you think writes them,who do you think writes them,k_generated_audio/tts2024-03-09--09-37-51/who do you think writes them.wav,0
73,im ok if youre ok about it,in ok if youre ok about it,k_generated_audio/tts2024-03-09--09-37-51/im ok if youre ok about it.wav,1
74,the achieved results are far behind the stateoftheart in image classification,the achieved results are far behind the state of heart in image classification,k_generated_audio/tts2024-03-09--09-37-51/the achieved results are far behind the stateoftheart in image classification.wav,2
75,ill be back in a minute,well be back in a minute,k_generated_audio/tts2024-03-09--09-37-51/ill be back in a minute.wav,2
76,judge debra sent me,did you hear her scent dean,k_generated_audio/tts2024-03-09--09-37-51/judge debra sent me.wav,16
77,a large piece suddenly came off and fell with a loud and sharp noise,a large piece suddenly came off and fell with a loud and sharp nade,k_generated_audio/tts2024-03-09--09-37-51/a large piece suddenly came off and fell with a loud and sharp noise.wav,3
78,it left a greenish streak that glowed for some seconds,it left a greenish street that glowed for some seconds,k_generated_audio/tts2024-03-09--09-37-51/it left a greenish streak that glowed for some seconds.wav,2
79,the homeless seem to like soup,the holis aim to like seed,k_generated_audio/tts2024-03-09--09-37-51/the homeless seem to like soup.wav,10
80,and finally the falcon returned with their meal,and finally the falcon returned with their me in,k_generated_audio/tts2024-03-09--09-37-51/and finally the falcon returned with their meal.wav,3
81,two more months passed and the shelf brought many customers into the crystal shop,two more months passed and the shelf brought many customers into the crystal shop,k_generated_audio/tts2024-03-09--09-37-51/two more months passed and the shelf brought many customers into the crystal shop.wav,0
82,he decanted the wine and began to recount the disturbing story he had been told,he decanted the wine and began to recount the disturbing story he had been told,k_generated_audio/tts2024-03-09--09-37-51/he decanted the wine and began to recount the disturbing story he had been told.wav,0
83,at least she knows how to behave at funerals,at least she knows how to behave at funerals,k_generated_audio/tts2024-03-09--09-37-51/at least she knows how to behave at funerals.wav,0
84,look at the policy i gave him,look at the policy i gave him hey,k_generated_audio/tts2024-03-09--09-37-51/look at the policy i gave him.wav,4
85,then i dont get paid,then i dont get paid,k_generated_audio/tts2024-03-09--09-37-51/then i dont get paid.wav,0
86,i got two giant bug bites on my right leg from last night and they hurt,i got two giant bug bites on my right leg from last night and they hurt,k_generated_audio/tts2024-03-09--09-37-51/i got two giant bug bites on my right leg from last night and they hurt.wav,0
87,but they really dont know what theyre saying,but they really dont know what theyre saying,k_generated_audio/tts2024-03-09--09-37-51/but they really dont know what theyre saying.wav,0
88,and also by unhappiness envy and jealousy,and also by unhappiness and the angelacy,k_generated_audio/tts2024-03-09--09-37-51/and also by unhappiness envy and jealousy.wav,13
89,some of the grey ash was falling off the circular edge,some of the grey asks was falling off the circular areas,k_generated_audio/tts2024-03-09--09-37-51/some of the grey ash was falling off the circular edge.wav,7
90,the stranger seemed satisfied with the answer,the stranger seems satisfied with the anc,k_generated_audio/tts2024-03-09--09-37-51/the stranger seemed satisfied with the answer.wav,6
91,i dont care what you charge them with,i dont care what he charged them with,k_generated_audio/tts2024-03-09--09-37-51/i dont care what you charge them with.wav,4
92,what was all that,what was all that,k_generated_audio/tts2024-03-09--09-37-51/what was all that.wav,0
93,it was the first time she had done that,it was the first time she had dim then,k_generated_audio/tts2024-03-09--09-37-51/it was the first time she had done that.wav,5
94,it was faintly marked with transverse stripes and slightly flattened from the perfect round,it was faintly marked with trans or strikes and slightly flat from the perfect rack,k_generated_audio/tts2024-03-09--09-37-51/it was faintly marked with transverse stripes and slightly flattened from the perfect round.wav,14
95,we cant let the chronicle get the laugh on us,we count let the chronicle get the left on us,k_generated_audio/tts2024-03-09--09-37-51/we cant let the chronicle get the laugh on us.wav,6
96,youre far too valuable,new far too valuable,k_generated_audio/tts2024-03-09--09-37-51/youre far too valuable.wav,5
97,they eat lunch together often but dont really talk outside the office,they ate lunch together often but dont really talk outside the office,k_generated_audio/tts2024-03-09--09-37-51/they eat lunch together often but dont really talk outside the office.wav,2
98,a half a heelot,have a helead,k_generated_audio/tts2024-03-09--09-37-51/a half a heelot.wav,8
99,hunches his mother used to call them,and just his mother used to call the woman,k_generated_audio/tts2024-03-09--09-37-51/hunches his mother used to call them.wav,12
100,it is recommended to drink at least two liters of water a day,it is recommended to drink at least two liters of wateraided,k_generated_audio/tts2024-03-09--09-37-51/it is recommended to drink at least two liters of water a day.wav,4
101,vibrations of peace throughout the tent,vibrations of peace throughout the tent,k_generated_audio/tts2024-03-09--09-37-51/vibrations of peace throughout the tent.wav,0
102,thomas went to war,thomas went to what,k_generated_audio/tts2024-03-09--09-37-51/thomas went to war.wav,2
103,they were in an immense setting surrounded by thousands of people speaking a strange language,they were in an immense sitting surrounded by thousands of people speaking a strange landwint,k_generated_audio/tts2024-03-09--09-37-51/they were in an immense setting surrounded by thousands of people speaking a strange language.wav,6
104,tangier is not like the rest of africa,tanger is not like the rest of afro,k_generated_audio/tts2024-03-09--09-37-51/tangier is not like the rest of africa.wav,4
105,ill hang it up,will hand in at,k_generated_audio/tts2024-03-09--09-37-51/ill hang it up.wav,5
106,there is a way out,there is a way out,k_generated_audio/tts2024-03-09--09-37-51/there is a way out.wav,0
107,im going with you the boy said,in going with you the boy say,k_generated_audio/tts2024-03-09--09-37-51/im going with you the boy said.wav,3
108,who is your friend the chief asked,who is your friend the chief asked,k_generated_audio/tts2024-03-09--09-37-51/who is your friend the chief asked.wav,0
109,ill tell you in a minute,ill tell you in a minute,k_generated_audio/tts2024-03-09--09-37-51/ill tell you in a minute.wav,0
110,i think they perceived that nothing was to be done at the moment,i think it perceived that nothing was to be done at the moment,k_generated_audio/tts2024-03-09--09-37-51/i think they perceived that nothing was to be done at the moment.wav,4
111,in some places the ground was covered with the salt of driedup lakes,in some places the ground was covered with the salt of dried up lace,k_generated_audio/tts2024-03-09--09-37-51/in some places the ground was covered with the salt of driedup lakes.wav,3
112,thats why i was sent down here,thats why i was sent down here,k_generated_audio/tts2024-03-09--09-37-51/thats why i was sent down here.wav,0
113,i heard a peculiar humming sound from the pit,i hear a peculiar humming sound from the pick,k_generated_audio/tts2024-03-09--09-37-51/i heard a peculiar humming sound from the pit.wav,3
114,he had come to the town only to find a woman who could interpret his dream,he had come to the town only to find a woman who could interpret his dream,k_generated_audio/tts2024-03-09--09-37-51/he had come to the town only to find a woman who could interpret his dream.wav,0
115,why the shots stopped after the tenth no one on earth has tried to explain,while the shots stopped after the 10th no one honor has tried to explain,k_generated_audio/tts2024-03-09--09-37-51/why the shots stopped after the tenth no one on earth has tried to explain.wav,12
116,for some reason we were blocked from entering,for some reason we were blocked from entering,k_generated_audio/tts2024-03-09--09-37-51/for some reason we were blocked from entering.wav,0
117,the swimming pool was full of chlorine,the swimming pole was full of chloro,k_generated_audio/tts2024-03-09--09-37-51/the swimming pool was full of chlorine.wav,5
118,but you are in the desert,but you are in the deserters,k_generated_audio/tts2024-03-09--09-37-51/but you are in the desert.wav,3
119,he was more confident in himself though and felt as though he could conquer the world,he was more confident in himself than felt as though he could conquer the world,k_generated_audio/tts2024-03-09--09-37-51/he was more confident in himself though and felt as though he could conquer the world.wav,6
120,she refilled her vessel and left,she refilled her vessel and left,k_generated_audio/tts2024-03-09--09-37-51/she refilled her vessel and left.wav,0
121,i noticed that the boy answered,i noticed that the boy answered,k_generated_audio/tts2024-03-09--09-37-51/i noticed that the boy answered.wav,0
122,throughout the entire day we will be on the lookout for our enemies,throughout the entire day we will be on the lookout for our enemy,k_generated_audio/tts2024-03-09--09-37-51/throughout the entire day we will be on the lookout for our enemies.wav,3
123,at other times at a crucial moment i make it easier for things to happen,at other times at a crucial moment i make it easier for things to happen,k_generated_audio/tts2024-03-09--09-37-51/at other times at a crucial moment i make it easier for things to happen.wav,0
124,all the joy he had seen that morning had suddenly disappeared,oligia had seen that morning had suddenly disappear,k_generated_audio/tts2024-03-09--09-37-51/all the joy he had seen that morning had suddenly disappeared.wav,15
125,you cant desert now,you cant desert none,k_generated_audio/tts2024-03-09--09-37-51/you cant desert now.wav,2
126,i have no information about troops or about the movement of the tribes,i have known information about troops or about the movement of the tribes,k_generated_audio/tts2024-03-09--09-37-51/i have no information about troops or about the movement of the tribes.wav,3
127,you have been stopping me,you have been stopping ya,k_generated_audio/tts2024-03-09--09-37-51/you have been stopping me.wav,2
128,there were raised voicesand some sort of struggle appeared to be going on,there will raise voice in some sort of struggle appeared to be going on,k_generated_audio/tts2024-03-09--09-37-51/there were raised voicesand some sort of struggle appeared to be going on.wav,7
129,i got drunk yesterday and thought i built a super computer,i got drunk yesterday and thought i built a supercomputer,k_generated_audio/tts2024-03-09--09-37-51/i got drunk yesterday and thought i built a super computer.wav,1
130,he was immensely excited at the news,he was immensely excited at the news,k_generated_audio/tts2024-03-09--09-37-51/he was immensely excited at the news.wav,0
131,using script blockers is generally a good idea but it requires the user to learn a bit,using script blockers is generally a good idea but it requires the user to learn a bit,k_generated_audio/tts2024-03-09--09-37-51/using script blockers is generally a good idea but it requires the user to learn a bit.wav,0
132,so when i look out over your sands i am also looking at her,so when i look out over your sands im also looking at her,k_generated_audio/tts2024-03-09--09-37-51/so when i look out over your sands i am also looking at her.wav,2
133,hes home cooking dinner,as home cooking dinner,k_generated_audio/tts2024-03-09--09-37-51/hes home cooking dinner.wav,2
134,lets have a look at the standard deviation,lets have a look at the standard deasian,k_generated_audio/tts2024-03-09--09-37-51/lets have a look at the standard deviation.wav,4
135,now thats too much,now thats too much,k_generated_audio/tts2024-03-09--09-37-51/now thats too much.wav,0
136,he just got a new kite for his birthday,he just got a new kite for his birthday,k_generated_audio/tts2024-03-09--09-37-51/he just got a new kite for his birthday.wav,0
137,the ceiling collapsed inwards,the ceiling collapsed in wars,k_generated_audio/tts2024-03-09--09-37-51/the ceiling collapsed inwards.wav,2
138,for example i can say score test word to print test word or camel test word to print testword,for example i can say score test word to print test word or countable test word to print test word,k_generated_audio/tts2024-03-09--09-37-51/for example i can say score test word to print test word or camel test word to print testword.wav,8
139,im a woman of the desert she said averting her face,in a woman of the desert she said everything her face,k_generated_audio/tts2024-03-09--09-37-51/im a woman of the desert she said averting her face.wav,4
140,we want to sell handmade chukka boots in that food truck,we want to sell handmade chocolate boards in that food truck,k_generated_audio/tts2024-03-09--09-37-51/we want to sell handmade chukka boots in that food truck.wav,9
141,hes talking like a child,has talking like a child,k_generated_audio/tts2024-03-09--09-37-51/hes talking like a child.wav,1
142,the quicker the better,the quicker the better,k_generated_audio/tts2024-03-09--09-37-51/the quicker the better.wav,0
143,and you married her,and you married her,k_generated_audio/tts2024-03-09--09-37-51/and you married her.wav,0
144,few people realise the immensity of vacancy,few people realize the immensity of vacancy,k_generated_audio/tts2024-03-09--09-37-51/few people realise the immensity of vacancy.wav,1
145,the englishmans eyes lit up,the english minzaise with,k_generated_audio/tts2024-03-09--09-37-51/the englishmans eyes lit up.wav,11
146,few people realise the immensity of vacancy,few people realize the immensity of vacancy,k_generated_audio/tts2024-03-09--09-37-51/few people realise the immensity of vacancy.wav,1
147,when the sun sets the men will once again surrender their arms to me,when the sun sets the man will once again surrender their arms to me,k_generated_audio/tts2024-03-09--09-37-51/when the sun sets the men will once again surrender their arms to me.wav,1
148,its lower end was still embedded,its lower and was still embedded eddie,k_generated_audio/tts2024-03-09--09-37-51/its lower end was still embedded.wav,7
149,before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war,the four guns were invented armies had to throw bullets at each other and if a bullet touch you you had to sit out until the next wall,k_generated_audio/tts2024-03-09--09-37-51/before guns were invented armies had to throw bullets at each other and if a bullet touched you you had to sit out until the next war.wav,9
150,now leave us alone said the boy to the young arab,now leave us alone set the boy to the young ari,k_generated_audio/tts2024-03-09--09-37-51/now leave us alone said the boy to the young arab.wav,5
151,on the first day he returned with a rabbit and on the second with two birds,on the first day he returned with a rabbit and on the second with two birds,k_generated_audio/tts2024-03-09--09-37-51/on the first day he returned with a rabbit and on the second with two birds.wav,0
152,as soon as he saw me among the crowd he called to me to come down,as soon as he saw me among the crowd he called to meet a calm down,k_generated_audio/tts2024-03-09--09-37-51/as soon as he saw me among the crowd he called to me to come down.wav,6
153,im not hiding anything the boy answered,in not hiding anything the boy answered,k_generated_audio/tts2024-03-09--09-37-51/im not hiding anything the boy answered.wav,1
154,a large portion of the cylinder had been uncovered,a large portion of the cylinder had been uncovered,k_generated_audio/tts2024-03-09--09-37-51/a large portion of the cylinder had been uncovered.wav,0
155,im hunting with my falcon the alchemist answered,in hunting with my falcon the alchemist answers,k_generated_audio/tts2024-03-09--09-37-51/im hunting with my falcon the alchemist answered.wav,3
156,its not what enters mens mouths thats evil said the alchemist,its not what enters mens mouths thats evil said the lcaminstus,k_generated_audio/tts2024-03-09--09-37-51/its not what enters mens mouths thats evil said the alchemist.wav,6
157,an army is coming the boy said,and army is coming the boys say,k_generated_audio/tts2024-03-09--09-37-51/an army is coming the boy said.wav,4
158,so you know about love the boy said,so you know about love the boy c,k_generated_audio/tts2024-03-09--09-37-51/so you know about love the boy said.wav,4
159,there are rumors of tribal wars he told them,there are rumors of tribal wars he told murder them,k_generated_audio/tts2024-03-09--09-37-51/there are rumors of tribal wars he told them.wav,7
160,the first rule of dont fight club is lets talk about it,the first rule of dont fight club is lets talk about it,k_generated_audio/tts2024-03-09--09-37-51/the first rule of dont fight club is lets talk about it.wav,0
161,the steel of its blade glittered in the light of the moon,the steel of its blade glittered in the light of the moon,k_generated_audio/tts2024-03-09--09-37-51/the steel of its blade glittered in the light of the moon.wav,0
162,the man looked at the angel in surprise,the man looked at the angel in surprise,k_generated_audio/tts2024-03-09--09-37-51/the man looked at the angel in surprise.wav,0
163,he only lost three buttons off his vest,he only lost three but those off his vest,k_generated_audio/tts2024-03-09--09-37-51/he only lost three buttons off his vest.wav,4
164,i think we can do better after the boat sails,i think we can do better after the boat sails,k_generated_audio/tts2024-03-09--09-37-51/i think we can do better after the boat sails.wav,0
165,the englishman didnt answer him directly,the englishman didnt answer him directly,k_generated_audio/tts2024-03-09--09-37-51/the englishman didnt answer him directly.wav,0
166,he felt weighted down by the centuries of time since the pyramids had been built,he felt weighted down by the centuries of time since the pyramids had been bent,k_generated_audio/tts2024-03-09--09-37-51/he felt weighted down by the centuries of time since the pyramids had been built.wav,3
167,fatima the girl said averting her eyes,fatham in the girls set a verdict her eyes,k_generated_audio/tts2024-03-09--09-37-51/fatima the girl said averting her eyes.wav,13
168,the boy was relieved,the boy is relieved,k_generated_audio/tts2024-03-09--09-37-51/the boy was relieved.wav,2
169,in any case its good that youve learned that everything in life has its price,in any case its good that youve learned that everything in life has its praise,k_generated_audio/tts2024-03-09--09-37-51/in any case its good that youve learned that everything in life has its price.wav,2
170,im not rubbing it in,in not revving it a,k_generated_audio/tts2024-03-09--09-37-51/im not rubbing it in.wav,6
171,now lets see what you look like when you protest,now lets see what you look like when you protest,k_generated_audio/tts2024-03-09--09-37-51/now lets see what you look like when you protest.wav,0
172,few people realise the immensity of vacancy,q people realize the immensity of vacancy,k_generated_audio/tts2024-03-09--09-37-51/few people realise the immensity of vacancy.wav,4
173,on the very first page it described a burial ceremony,on the very first page it described a burial ceremony,k_generated_audio/tts2024-03-09--09-37-51/on the very first page it described a burial ceremony.wav,0
174,youre right when you say my father was no business man,new and right when you say my father was no business man,k_generated_audio/tts2024-03-09--09-37-51/youre right when you say my father was no business man.wav,7
175,the woman said she had never heard of such a person and hurried away,the woman said she had never heard of such a person and her eoe,k_generated_audio/tts2024-03-09--09-37-51/the woman said she had never heard of such a person and hurried away.wav,9
176,what boat you sailing on,what book you sailing on,k_generated_audio/tts2024-03-09--09-37-51/what boat you sailing on.wav,2
177,he moved about invisible but everyone could hear him,he moved about invisible but everyone could hear here,k_generated_audio/tts2024-03-09--09-37-51/he moved about invisible but everyone could hear him.wav,3
178,whats the matter with eleanor,whats the matter with elano,k_generated_audio/tts2024-03-09--09-37-51/whats the matter with eleanor.wav,2
179,it must have fallen while i was sitting over there,it must have fallen while we were sitting over there,k_generated_audio/tts2024-03-09--09-37-51/it must have fallen while i was sitting over there.wav,5
180,worked hard just to have food and water like the sheep,were far just to have food and water like the sheep,k_generated_audio/tts2024-03-09--09-37-51/worked hard just to have food and water like the sheep.wav,5
181,what a load of trash sarah opined,what a load of traps sarah will pie,k_generated_audio/tts2024-03-09--09-37-51/what a load of trash sarah opined.wav,9
182,rest well tonight as if you were a warrior preparing for combat,rest well tonight as if you were a warrior preparing for combat,k_generated_audio/tts2024-03-09--09-37-51/rest well tonight as if you were a warrior preparing for combat.wav,0
183,the teenagers put on red hoodies for their annual toboggan run,the teenagers put on red hitties for their annual to balvin realm,k_generated_audio/tts2024-03-09--09-37-51/the teenagers put on red hoodies for their annual toboggan run.wav,12
184,learn to recognize omens and follow them the old king had said,learn to recognize owens and follow the mild king at say,k_generated_audio/tts2024-03-09--09-37-51/learn to recognize omens and follow them the old king had said.wav,11
185,berlin can be so lovely this time of year,lun can be so lovely this time of year,k_generated_audio/tts2024-03-09--09-37-51/berlin can be so lovely this time of year.wav,4
186,laura took out a cigarette and placed it in her mouth,water took out a cigarette and placed it in her mouth,k_generated_audio/tts2024-03-09--09-37-51/laura took out a cigarette and placed it in her mouth.wav,4
