text,transcript,filename,tts_distance
bidingmytime,fightingmytime,generated_audio/tts2024-02-23--21-16-56/Biding my time.wav,4.0
antidotalevidence,andtodoubleevidence,generated_audio/tts2024-02-23--21-16-56/Antidotal evidence.wav,5.0
anecdotalevidence,andatotalevidence,generated_audio/tts2024-02-23--21-16-56/Anecdotal evidence.wav,3.0
circussized,circussized,generated_audio/tts2024-02-23--21-16-56/Circussized.wav,0.0
circumcised,secondsized,generated_audio/tts2024-02-23--21-16-56/Circumcised.wav,8.0
hungerpains,hungerpange,generated_audio/tts2024-02-23--21-16-56/Hunger pains.wav,3.0
hungerpangs,hangs,generated_audio/tts2024-02-23--21-16-56/Hunger pangs.wav,6.0
flushoutthedetails,ofthedeliciousplusheyedpizzashowtoeatthiswhydosomanygoodcatfoodsomeofthemareincarnatedwhatwerethebestdollsapplied,generated_audio/tts2024-02-23--21-16-56/Flush out the details.wav,97.0
fleshoutthedetails,plusatthedayssaleease,generated_audio/tts2024-02-23--21-16-56/Flesh out the details.wav,14.0
hesawolfincheapclothing,asawolfandcheapclothing,generated_audio/tts2024-02-23--21-16-56/Hes a wolf in cheap clothing.wav,4.0
hesawolfinsheepsclothing,asawolfandsheepsclothing,generated_audio/tts2024-02-23--21-16-56/Hes a wolf in sheeps clothing.wav,4.0
premadonna,primanfeuànamいたone,generated_audio/tts2024-02-23--21-16-56/PreMadonna.wav,12.0
primadonna,mayذاbeonsouthkoreaabsourfortwoweeksletsseethatnexttimeiwilltalktoyoulateronthequestionyouseesincethisyear3monthswilltakesomemoneyforgodzilla,generated_audio/tts2024-02-23--21-16-56/Prima donna.wav,133.0
socialleper,sociallepper,generated_audio/tts2024-02-23--21-16-56/Social leper.wav,1.0
socialpariah,socialpremier,generated_audio/tts2024-02-23--21-16-56/Social pariah.wav,5.0
givefreerein,ifwering,generated_audio/tts2024-02-23--21-16-56/Give free rein.wav,7.0
givefreereign,ifweringring,generated_audio/tts2024-02-23--21-16-56/Give free reign.wav,10.0
makeendsmeat,makeendsmeet,generated_audio/tts2024-02-23--21-16-56/Make ends meat.wav,1.0
makeendsmeet,makeendsmeet,generated_audio/tts2024-02-23--21-16-56/Make ends meet.wav,0.0
rightfromthegecko,rightfromthegacker,generated_audio/tts2024-02-23--21-16-56/Right from the gecko.wav,3.0
rightfromthegetgo,rightfromthegetgo,generated_audio/tts2024-02-23--21-16-56/Right from the getgo.wav,0.0
stockhomesyndrome,stockholmsyndrome,generated_audio/tts2024-02-23--21-16-56/Stock home syndrome.wav,2.0
stockholmsyndrome,stockholmsyndrome,generated_audio/tts2024-02-23--21-16-56/Stockholm syndrome.wav,0.0
chesterdrawers,chesterdrawers,generated_audio/tts2024-02-23--21-16-56/Chester drawers.wav,0.0
chestofdrawers,chestofdrawers,generated_audio/tts2024-02-23--21-16-56/Chest of drawers.wav,0.0
beckoncall,backandcall,generated_audio/tts2024-02-23--21-16-56/Beckon call.wav,3.0
beckandcall,backandcold,generated_audio/tts2024-02-23--21-16-56/Beck and call.wav,3.0
fullproof,fullprivilege,generated_audio/tts2024-02-23--21-16-56/Fullproof.wav,7.0
foolproof,soproof,generated_audio/tts2024-02-23--21-16-56/Foolproof.wav,3.0
twopeasinapot,twopeasinapot,generated_audio/tts2024-02-23--21-16-56/Two peas in a pot.wav,0.0
twopeasinapod,twopeasinapot,generated_audio/tts2024-02-23--21-16-56/Two peas in a pod.wav,1.0
onthespurtofthemoment,onthespurofthemoment,generated_audio/tts2024-02-23--21-16-56/On the spurt of the moment.wav,1.0
onthespurofthemoment,onthespurofthemoment,generated_audio/tts2024-02-23--21-16-56/On the spur of the moment.wav,0.0
mindbottling,mightloveonly,generated_audio/tts2024-02-23--21-16-56/Mindbottling.wav,10.0
mindboggling,mindbubbling,generated_audio/tts2024-02-23--21-16-56/Mindboggling.wav,3.0
ipleadthefifthcommandment,ipleadthefifthcommandmint,generated_audio/tts2024-02-23--21-16-56/I plead the Fifth Commandment.wav,1.0
ipleadthefifthamendment,ipleadthefifthamendment,generated_audio/tts2024-02-23--21-16-56/I plead the Fifth Amendment.wav,0.0
