id,pair_id,text,transcript,filename,tts_distance
40,20,a hard row to hoe,a hard road to hard,generated_audio/tts2024-02-25--18-52-16/a hard row to hoe.wav,5
41,21,expatriot,xpatriate,generated_audio/tts2024-02-25--18-52-16/expatriot.wav,3
42,21,expatriate,xbaitree 8,generated_audio/tts2024-02-25--18-52-16/expatriate.wav,7
43,22,biting my time,biting my time,generated_audio/tts2024-02-25--18-52-16/biting my time.wav,0
44,22,biding my time,fighting my time,generated_audio/tts2024-02-25--18-52-16/biding my time.wav,4
45,23,antidotal evidence,and to total evidence,generated_audio/tts2024-02-25--18-52-16/antidotal evidence.wav,5
46,23,anecdotal evidence,and the total evidence,generated_audio/tts2024-02-25--18-52-16/anecdotal evidence.wav,6
47,24,circussized,cirqueciises,generated_audio/tts2024-02-25--18-52-16/circussized.wav,6
48,24,circumcised,circumcised,generated_audio/tts2024-02-25--18-52-16/circumcised.wav,0
49,25,hunger pains,hunger payings,generated_audio/tts2024-02-25--18-52-16/hunger pains.wav,2
50,25,hunger pangs,other pains,generated_audio/tts2024-02-25--18-52-16/hunger pangs.wav,6
51,26,flush out the details,close the details,generated_audio/tts2024-02-25--18-52-16/flush out the details.wav,7
52,26,flesh out the details,flash out the details,generated_audio/tts2024-02-25--18-52-16/flesh out the details.wav,1
53,27,hes a wolf in cheap clothing,as a wolf and cheap clothing,generated_audio/tts2024-02-25--18-52-16/hes a wolf in cheap clothing.wav,4
54,27,hes a wolf in sheeps clothing,as a wallfin sheeps clothing,generated_audio/tts2024-02-25--18-52-16/hes a wolf in sheeps clothing.wav,5
55,28,premadonna,prime lemon,generated_audio/tts2024-02-25--18-52-16/premadonna.wav,8
56,28,prima donna,prehood donned,generated_audio/tts2024-02-25--18-52-16/prima donna.wav,7
57,29,social leper,social lepper,generated_audio/tts2024-02-25--18-52-16/social leper.wav,1
58,29,social pariah,socialprimer,generated_audio/tts2024-02-25--18-52-16/social pariah.wav,5
59,30,give free rein,you free ring ring,generated_audio/tts2024-02-25--18-52-16/give free rein.wav,10
60,30,give free reign,if free ring,generated_audio/tts2024-02-25--18-52-16/give free reign.wav,6
61,31,make ends meat,make ends meet,generated_audio/tts2024-02-25--18-52-16/make ends meat.wav,1
62,31,make ends meet,nick and smeat,generated_audio/tts2024-02-25--18-52-16/make ends meet.wav,8
63,32,right from the gecko,right from the gacker,generated_audio/tts2024-02-25--18-52-16/right from the gecko.wav,3
64,32,right from the getgo,right from the getgo,generated_audio/tts2024-02-25--18-52-16/right from the getgo.wav,0
65,33,stock home syndrome,stockholm syndrome,generated_audio/tts2024-02-25--18-52-16/stock home syndrome.wav,3
66,33,stockholm syndrome,stockholm syndrome,generated_audio/tts2024-02-25--18-52-16/stockholm syndrome.wav,0
67,34,chester drawers,chester drolls norris and roses,generated_audio/tts2024-02-25--18-52-16/chester drawers.wav,18
68,34,chest of drawers,chest of drawers,generated_audio/tts2024-02-25--18-52-16/chest of drawers.wav,0
69,35,beckon call,back and call,generated_audio/tts2024-02-25--18-52-16/beckon call.wav,4
70,35,beck and call,a band call,generated_audio/tts2024-02-25--18-52-16/beck and call.wav,5
71,36,fullproof,so prove truth and,generated_audio/tts2024-02-25--18-52-16/fullproof.wav,16
72,36,foolproof,full force,generated_audio/tts2024-02-25--18-52-16/foolproof.wav,7
73,37,two peas in a pot,two peas and a pot,generated_audio/tts2024-02-25--18-52-16/two peas in a pot.wav,2
74,37,two peas in a pod,two peas in a pot,generated_audio/tts2024-02-25--18-52-16/two peas in a pod.wav,1
75,38,on the spurt of the moment,on the spur of the moment,generated_audio/tts2024-02-25--18-52-16/on the spurt of the moment.wav,1
76,38,on the spur of the moment,on the spur of the moment,generated_audio/tts2024-02-25--18-52-16/on the spur of the moment.wav,0
77,39,mindbottling,mind bottling requirements 30,generated_audio/tts2024-02-25--18-52-16/mindbottling.wav,17
78,39,mindboggling,9 balling,generated_audio/tts2024-02-25--18-52-16/mindboggling.wav,7
79,40,i plead the fifth commandment,i plead the fifth commandment,generated_audio/tts2024-02-25--18-52-16/i plead the fifth commandment.wav,0
80,40,i plead the fifth amendment,i plead the fifth amendment,generated_audio/tts2024-02-25--18-52-16/i plead the fifth amendment.wav,0
