id,pair_id,text,transcript,filename,tts_distance
37,19,curl up in the feeble position,coup in the febilt position,generated_audio/tts2024-02-26--10-32-22/curl up in the feeble position.wav,7
38,19,curl up in the fetal position,current up in the fetal position,generated_audio/tts2024-02-26--10-32-22/curl up in the fetal position.wav,4
39,20,a hard road to hoe,a hard road to whore,generated_audio/tts2024-02-26--10-32-22/a hard road to hoe.wav,2
40,20,a hard row to hoe,hard road to hard,generated_audio/tts2024-02-26--10-32-22/a hard row to hoe.wav,7
41,21,expatriot,xatree it,generated_audio/tts2024-02-26--10-32-22/expatriot.wav,6
42,21,expatriate,xpatriate,generated_audio/tts2024-02-26--10-32-22/expatriate.wav,1
43,22,biting my time,fighting my timeline,generated_audio/tts2024-02-26--10-32-22/biting my time.wav,7
44,22,biding my time,fighting my time mine,generated_audio/tts2024-02-26--10-32-22/biding my time.wav,9
45,23,antidotal evidence,and to do the evidence,generated_audio/tts2024-02-26--10-32-22/antidotal evidence.wav,7
46,23,anecdotal evidence,and a total evidence,generated_audio/tts2024-02-26--10-32-22/anecdotal evidence.wav,5
47,24,circussized,circus sizes,generated_audio/tts2024-02-26--10-32-22/circussized.wav,2
48,24,circumcised,circumcised,generated_audio/tts2024-02-26--10-32-22/circumcised.wav,0
49,25,hunger pains,hunger pains,generated_audio/tts2024-02-26--10-32-22/hunger pains.wav,0
50,25,hunger pangs,hunger pams,generated_audio/tts2024-02-26--10-32-22/hunger pangs.wav,2
51,26,flush out the details,close at the details,generated_audio/tts2024-02-26--10-32-22/flush out the details.wav,5
52,26,flesh out the details,flash out the details,generated_audio/tts2024-02-26--10-32-22/flesh out the details.wav,1
53,27,hes a wolf in cheap clothing,as a wolf and cheap clothing,generated_audio/tts2024-02-26--10-32-22/hes a wolf in cheap clothing.wav,4
54,27,hes a wolf in sheeps clothing,as a wolf in sheeps clothing,generated_audio/tts2024-02-26--10-32-22/hes a wolf in sheeps clothing.wav,2
55,28,premadonna,brain medine,generated_audio/tts2024-02-26--10-32-22/premadonna.wav,9
56,28,prima donna,premium conflicts,generated_audio/tts2024-02-26--10-32-22/prima donna.wav,11
57,29,social leper,social leper,generated_audio/tts2024-02-26--10-32-22/social leper.wav,0
58,29,social pariah,social prior,generated_audio/tts2024-02-26--10-32-22/social pariah.wav,3
59,30,give free rein,if we ring,generated_audio/tts2024-02-26--10-32-22/give free rein.wav,8
60,30,give free reign,if freerain,generated_audio/tts2024-02-26--10-32-22/give free reign.wav,6
61,31,make ends meat,make ends meet,generated_audio/tts2024-02-26--10-32-22/make ends meat.wav,1
62,31,make ends meet,make ends mean,generated_audio/tts2024-02-26--10-32-22/make ends meet.wav,2
63,32,right from the gecko,right from the gekko road,generated_audio/tts2024-02-26--10-32-22/right from the gecko.wav,6
64,32,right from the getgo,right from the get go,generated_audio/tts2024-02-26--10-32-22/right from the getgo.wav,1
65,33,stock home syndrome,stockholm syndrome,generated_audio/tts2024-02-26--10-32-22/stock home syndrome.wav,3
66,33,stockholm syndrome,stockholm syndrome,generated_audio/tts2024-02-26--10-32-22/stockholm syndrome.wav,0
67,34,chester drawers,chester drawers,generated_audio/tts2024-02-26--10-32-22/chester drawers.wav,0
68,34,chest of drawers,test of drawers,generated_audio/tts2024-02-26--10-32-22/chest of drawers.wav,2
69,35,beckon call,back in call,generated_audio/tts2024-02-26--10-32-22/beckon call.wav,3
70,35,beck and call,back and cool,generated_audio/tts2024-02-26--10-32-22/beck and call.wav,3
71,36,fullproof,so proof,generated_audio/tts2024-02-26--10-32-22/fullproof.wav,4
72,36,foolproof,so proof,generated_audio/tts2024-02-26--10-32-22/foolproof.wav,3
73,37,two peas in a pot,two peas in a pot,generated_audio/tts2024-02-26--10-32-22/two peas in a pot.wav,0
74,37,two peas in a pod,two peas in a pub,generated_audio/tts2024-02-26--10-32-22/two peas in a pod.wav,2
75,38,on the spurt of the moment,on the spur of the moment,generated_audio/tts2024-02-26--10-32-22/on the spurt of the moment.wav,1
76,38,on the spur of the moment,on the spur of the moment,generated_audio/tts2024-02-26--10-32-22/on the spur of the moment.wav,0
77,39,mindbottling,nonbottling,generated_audio/tts2024-02-26--10-32-22/mindbottling.wav,3
78,39,mindboggling,mindknowling,generated_audio/tts2024-02-26--10-32-22/mindboggling.wav,4
79,40,i plead the fifth commandment,i plead the fifth commandment,generated_audio/tts2024-02-26--10-32-22/i plead the fifth commandment.wav,0
80,40,i plead the fifth amendment,i plead the fifth amendment,generated_audio/tts2024-02-26--10-32-22/i plead the fifth amendment.wav,0
