id,text,transcript,filename,tts_distance
15,she set it on the shelf and there it stayed,she said it on the shelf and there at state,audio_generated/tts2024-03-13--08-38-57/she set it on the shelf and there it stayed.wav,6
16,she likes you well enough to stick around,she likes you well enough to stick her ring,audio_generated/tts2024-03-13--08-38-57/she likes you well enough to stick around.wav,6
17,the boy was strong and wanted to retaliate but he was in a foreign country,the boy was strong ill do to retaliate but he was in a foreign country,audio_generated/tts2024-03-13--08-38-57/the boy was strong and wanted to retaliate but he was in a foreign country.wav,9
18,if he abandons that pursuit its because it wasnt truelove,if he abandoned that precede its because it was trolling,audio_generated/tts2024-03-13--08-38-57/if he abandons that pursuit its because it wasnt truelove.wav,15
19,everyone seemed very excited,everyone seemed very excited,audio_generated/tts2024-03-13--08-38-57/everyone seemed very excited.wav,0
20,the oasis is neutral ground,the aces is neutral ground,audio_generated/tts2024-03-13--08-38-57/the oasis is neutral ground.wav,3
21,ask the owner of that stall how much the sword costs he said to his friend,as the owner of that stall how much the sword costs he said to his friend,audio_generated/tts2024-03-13--08-38-57/ask the owner of that stall how much the sword costs he said to his friend.wav,1
22,its called the principle of favorability beginners luck,its called the principal of faberability beginners lot,audio_generated/tts2024-03-13--08-38-57/its called the principle of favorability beginners luck.wav,7
23,do you want to bankrupt this administration,do you want to bankrupt this administration,audio_generated/tts2024-03-13--08-38-57/do you want to bankrupt this administration.wav,0
24,im just a man who wanders the desert and knows the stars said the alchemist,in just a man who wanders the desert and knows the stars said the lcamons,audio_generated/tts2024-03-13--08-38-57/im just a man who wanders the desert and knows the stars said the alchemist.wav,7
25,i dont mind working from home most of the time but i do miss having coworkers,i dont mind working from home most of the time but i do miss having coworkers,audio_generated/tts2024-03-13--08-38-57/i dont mind working from home most of the time but i do miss having coworkers.wav,0
26,he dressed in his arabian clothing of white linen bought especially for this day,he dressed in his irradiant clothing of white linen especially for this day,audio_generated/tts2024-03-13--08-38-57/he dressed in his arabian clothing of white linen bought especially for this day.wav,11
27,hes on my phone,as on my final,audio_generated/tts2024-03-13--08-38-57/hes on my phone.wav,7
28,the lightbulbs need changing again,but like those need changing again,audio_generated/tts2024-03-13--08-38-57/the lightbulbs need changing again.wav,11
29,i locked eyes with a fish in the tank,i lacked eyes with a fish in the tank,audio_generated/tts2024-03-13--08-38-57/i locked eyes with a fish in the tank.wav,1
30,she reversed the charges,to reverse the charges,audio_generated/tts2024-03-13--08-38-57/she reversed the charges.wav,4
31,now you listen to me,man listen to me,audio_generated/tts2024-03-13--08-38-57/now you listen to me.wav,7
32,something inside the cylinder was unscrewing the top,something inside the cylinder was unscrewing the time,audio_generated/tts2024-03-13--08-38-57/something inside the cylinder was unscrewing the top.wav,3
33,this was the strangest of all things that ever came to earth from outer space,this was the strangest of all things that ever came to earth from outer space,audio_generated/tts2024-03-13--08-38-57/this was the strangest of all things that ever came to earth from outer space.wav,0
34,a current of love rushed from his heart and the boy began to pray,a cardid of love rushed from his heart and the boy began to probe,audio_generated/tts2024-03-13--08-38-57/a current of love rushed from his heart and the boy began to pray.wav,8
35,she cried for an hour,she cried for an hour,audio_generated/tts2024-03-13--08-38-57/she cried for an hour.wav,0
36,the immense collection of people and animals began to travel faster,the immense collection of people and animals began to travel faster,audio_generated/tts2024-03-13--08-38-57/the immense collection of people and animals began to travel faster.wav,0
37,you can only spit out so many seeds,you can only spit out so many seeds,audio_generated/tts2024-03-13--08-38-57/you can only spit out so many seeds.wav,0
38,theres no danger the boy said when they had moved on past the encampment,theres no danger the boy said when they had moved and passed the encampment,audio_generated/tts2024-03-13--08-38-57/theres no danger the boy said when they had moved on past the encampment.wav,5
39,thats the main idea,thats the main idea,audio_generated/tts2024-03-13--08-38-57/thats the main idea.wav,0
40,i havent any watch,i havent any wife,audio_generated/tts2024-03-13--08-38-57/i havent any watch.wav,4
41,the forest burned for thirteen days,the forest burned for 13 days,audio_generated/tts2024-03-13--08-38-57/the forest burned for thirteen days.wav,8
42,its what you have always wanted to accomplish,its what you have always wanted to accomplish,audio_generated/tts2024-03-13--08-38-57/its what you have always wanted to accomplish.wav,0
43,did you say a king he asked,did you say it can he asked,audio_generated/tts2024-03-13--08-38-57/did you say a king he asked.wav,5
44,shes a feisty little ferret,just a feisty little fared,audio_generated/tts2024-03-13--08-38-57/shes a feisty little ferret.wav,7
45,please use your turn signal,please use your turn signal,audio_generated/tts2024-03-13--08-38-57/please use your turn signal.wav,0
46,she was supposed to come down and get you,she was supposed to come down and get gait,audio_generated/tts2024-03-13--08-38-57/she was supposed to come down and get you.wav,4
47,artificial neural networks can do something very similar,artificial neural networks can do something very similar,audio_generated/tts2024-03-13--08-38-57/artificial neural networks can do something very similar.wav,0
48,i feel grateful for the time that we have spend together,i feel grateful for the time that we have spent again,audio_generated/tts2024-03-13--08-38-57/i feel grateful for the time that we have spend together.wav,8
49,he wandered for a while keeping the date palms of the oasis within sight,he wanted for a while keeping the date palms of the oasis within size,audio_generated/tts2024-03-13--08-38-57/he wandered for a while keeping the date palms of the oasis within sight.wav,6
50,hes watching the other door,has watching the other door to it,audio_generated/tts2024-03-13--08-38-57/hes watching the other door.wav,7
51,and the leader posted armed sentinels at the fringes of the group,and the leader posted armed sentinels at the fringes of the griggs,audio_generated/tts2024-03-13--08-38-57/and the leader posted armed sentinels at the fringes of the group.wav,4
52,pizza is an italian classic,peace it is an italian classes,audio_generated/tts2024-03-13--08-38-57/pizza is an italian classic.wav,9
53,activists claim the pipeline through the baltic sea is leaking,activists claim the pipeline through the baltic seas leaking,audio_generated/tts2024-03-13--08-38-57/activists claim the pipeline through the baltic sea is leaking.wav,2
54,a little lemongrass should freshen it up,a little lumbar grass should freshen it up,audio_generated/tts2024-03-13--08-38-57/a little lemongrass should freshen it up.wav,5
55,you cant be the wind the wind said,you cant be the wine the wine said,audio_generated/tts2024-03-13--08-38-57/you cant be the wind the wind said.wav,2
56,it was a litmus test,it was a love mistest,audio_generated/tts2024-03-13--08-38-57/it was a litmus test.wav,6
57,she probably worked it out in advance,she probably worked it out in advance,audio_generated/tts2024-03-13--08-38-57/she probably worked it out in advance.wav,0
58,when hes an old man hes going to spend a month in africa,when has an old man has going to spend a month in a friend,audio_generated/tts2024-03-13--08-38-57/when hes an old man hes going to spend a month in africa.wav,6
59,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him,audio_generated/tts2024-03-13--08-38-57/the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him.wav,0
60,the rest of you get in here and riot,the rest of you get in here and right here,audio_generated/tts2024-03-13--08-38-57/the rest of you get in here and riot.wav,7
61,i want my husband to wander as free as the wind that shapes the dunes,i want my husband to wonder as free as the wine that shakes the dudes dune,audio_generated/tts2024-03-13--08-38-57/i want my husband to wander as free as the wind that shapes the dunes.wav,9
62,shes accused of stealing a watch,chess accused of stealing a wise,audio_generated/tts2024-03-13--08-38-57/shes accused of stealing a watch.wav,6
63,dont ask me why i dont know why,dont ask me why i dont know one,audio_generated/tts2024-03-13--08-38-57/dont ask me why i dont know why.wav,3
64,he approached the mass and was surprised at the size and the shape,he approached the mess and was surprised at the size and the shape,audio_generated/tts2024-03-13--08-38-57/he approached the mass and was surprised at the size and the shape.wav,1
65,a ghostly figure appeared,a ghostly figure appeared,audio_generated/tts2024-03-13--08-38-57/a ghostly figure appeared.wav,0
66,whats the good of arguing about something that probably doesnt exist,whats the good of arguing about something that probably just ninks exists,audio_generated/tts2024-03-13--08-38-57/whats the good of arguing about something that probably doesnt exist.wav,10
67,that sobered him a little,thats sobered him a little,audio_generated/tts2024-03-13--08-38-57/that sobered him a little.wav,1
68,but she is gone,but she is gone,audio_generated/tts2024-03-13--08-38-57/but she is gone.wav,0
69,ive crossed these sands many times said one of the camel drivers one night,i crossed these sends many times to send one of the camel drivers one now,audio_generated/tts2024-03-13--08-38-57/ive crossed these sands many times said one of the camel drivers one night.wav,12
70,without responding the guard entered the tent where he remained for some time,without responding the guard entered the tent where he remained for some time,audio_generated/tts2024-03-13--08-38-57/without responding the guard entered the tent where he remained for some time.wav,0
71,i dont want anything else in life,i dont want anything else in life,audio_generated/tts2024-03-13--08-38-57/i dont want anything else in life.wav,0
72,it was only when i got this close to it that the strangeness of it was at all evident to me,it was only when i got this close to that the strangers of it was at all evident to take to,audio_generated/tts2024-03-13--08-38-57/it was only when i got this close to it that the strangeness of it was at all evident to me.wav,12
73,he transformed himself into a stone that rolled up to the miners foot,he transformed himself into a stone that rolled up to the miners force,audio_generated/tts2024-03-13--08-38-57/he transformed himself into a stone that rolled up to the miners foot.wav,3
74,the day was hot and the wine was refreshing,the day was hot and the wine was refreshing,audio_generated/tts2024-03-13--08-38-57/the day was hot and the wine was refreshing.wav,0
75,the hand with the whip pointed to the south,the hand with the word pointed to the south,audio_generated/tts2024-03-13--08-38-57/the hand with the whip pointed to the south.wav,3
76,and then he perceived it very slowly,and then he perceived it very small,audio_generated/tts2024-03-13--08-38-57/and then he perceived it very slowly.wav,4
77,i would appreciate if you could create a concise table,i would appreciate if you could create a concise table,audio_generated/tts2024-03-13--08-38-57/i would appreciate if you could create a concise table.wav,0
78,and also because i know about the soul of the world he thought to himself,and also because i know about the soul of the world he thought to himself,audio_generated/tts2024-03-13--08-38-57/and also because i know about the soul of the world he thought to himself.wav,0
79,dont you push me around like that,dont you push me around like this,audio_generated/tts2024-03-13--08-38-57/dont you push me around like that.wav,2
80,the boy felt a pang in his heart thinking about the merchants daughter,the boy felt a pound in his heart thinking about the merchants dough,audio_generated/tts2024-03-13--08-38-57/the boy felt a pang in his heart thinking about the merchants daughter.wav,7
81,im going to find that damned alchemist the englishman thought,in going to find that dannell chemist the englishman thoughts,audio_generated/tts2024-03-13--08-38-57/im going to find that damned alchemist the englishman thought.wav,7
82,they were looking only for gold his companion answered,they were looking only for where gold his companion answered,audio_generated/tts2024-03-13--08-38-57/they were looking only for gold his companion answered.wav,6
83,the boy remembered an old proverb from his country,the boy remembered an old proverb from his country,audio_generated/tts2024-03-13--08-38-57/the boy remembered an old proverb from his country.wav,0
84,youre supposed to be the one that has all the answers,youre supposed to be the one that has all the answers,audio_generated/tts2024-03-13--08-38-57/youre supposed to be the one that has all the answers.wav,0
85,and the odor of the animals became a bit more tolerable,and the odor of the animals became a bit more tolerable,audio_generated/tts2024-03-13--08-38-57/and the odor of the animals became a bit more tolerable.wav,0
86,he really was a king a wise king,he really was a king of wise kings,audio_generated/tts2024-03-13--08-38-57/he really was a king a wise king.wav,3
87,the high humidity is making me sweat,the high humidity is making me sweat,audio_generated/tts2024-03-13--08-38-57/the high humidity is making me sweat.wav,0
88,its usually customary to bring the money with you,its usually customary to bring the money with ea,audio_generated/tts2024-03-13--08-38-57/its usually customary to bring the money with you.wav,3
89,i imagine this will be a surprise to some people,i imagine this will be a surprise to some people,audio_generated/tts2024-03-13--08-38-57/i imagine this will be a surprise to some people.wav,0
90,wed better forget it,would better forget it,audio_generated/tts2024-03-13--08-38-57/wed better forget it.wav,3
91,the old woman had said the same thing,the old one had set the same thing,audio_generated/tts2024-03-13--08-38-57/the old woman had said the same thing.wav,7
92,men dream more about coming home than about leaving the boy said,bindry more about coming home than about leaving the boy say,audio_generated/tts2024-03-13--08-38-57/men dream more about coming home than about leaving the boy said.wav,8
93,well usually i learn more from my sheep than from books he answered,well usually i learn more from my sheep than from books he answered,audio_generated/tts2024-03-13--08-38-57/well usually i learn more from my sheep than from books he answered.wav,0
94,adam is a crook,adam is a crude,audio_generated/tts2024-03-13--08-38-57/adam is a crook.wav,3
95,every day was there to be lived or to mark ones departure from this world,every day was there to be loved or to mark ones to parture from this worried,audio_generated/tts2024-03-13--08-38-57/every day was there to be lived or to mark ones departure from this world.wav,7
96,this is for you he said holding one of the parts out to the monk,this is for you he said holding one of the parts out to the mongom,audio_generated/tts2024-03-13--08-38-57/this is for you he said holding one of the parts out to the monk.wav,3
97,you point to a trail of ants leading into the house,you point to a trail of its leading into the house,audio_generated/tts2024-03-13--08-38-57/you point to a trail of ants leading into the house.wav,2
98,and i told harry i thought id be bored to death,and i told harry i thought id be bored today,audio_generated/tts2024-03-13--08-38-57/and i told harry i thought id be bored to death.wav,4
99,it was his heart that would tell him where his treasure was hidden,it was his heart that would tell him where his treasure was hidden,audio_generated/tts2024-03-13--08-38-57/it was his heart that would tell him where his treasure was hidden.wav,0
100,how do you think the table looks,and you think the table looks,audio_generated/tts2024-03-13--08-38-57/how do you think the table looks.wav,5
101,putting a pool under this floor was a great idea,pushing a pull under this floor was a great idea,audio_generated/tts2024-03-13--08-38-57/putting a pool under this floor was a great idea.wav,4
102,he got up adjusted his clothing and picked up his pouch,he got up adjusted his clothing and picked up his path,audio_generated/tts2024-03-13--08-38-57/he got up adjusted his clothing and picked up his pouch.wav,3
103,i want to see him do it said the chief,i want to see him do it said the cheek,audio_generated/tts2024-03-13--08-38-57/i want to see him do it said the chief.wav,2
104,two years ago right here on this spot i had a recurrent dream too,two years ago right here on this spot i had a recurrent dreamt,audio_generated/tts2024-03-13--08-38-57/two years ago right here on this spot i had a recurrent dream too.wav,3
105,bacon pancakes and maple syrup is a hearty start to any day,they can pancakes and maple syrup is a hardy start to any tea,audio_generated/tts2024-03-13--08-38-57/bacon pancakes and maple syrup is a hearty start to any day.wav,11
106,i never knew grandma to be so determined before,i never knew grandma to be so determined before,audio_generated/tts2024-03-13--08-38-57/i never knew grandma to be so determined before.wav,0
107,the genies were the spirits of good and evil,the genes were the spirits of good and yield,audio_generated/tts2024-03-13--08-38-57/the genies were the spirits of good and evil.wav,5
108,its true life really is generous to those who pursue their destiny the boy thought,its true life really is generous to those who pursue their destiny the birth,audio_generated/tts2024-03-13--08-38-57/its true life really is generous to those who pursue their destiny the boy thought.wav,8
109,are you going to talk or arent you,are you going to talk or arent you,audio_generated/tts2024-03-13--08-38-57/are you going to talk or arent you.wav,0
110,he said he had never seen any like them,he said he had never seen any like thing,audio_generated/tts2024-03-13--08-38-57/he said he had never seen any like them.wav,3
111,we lit the lantern and walked over to his house,we let the lantern and walk to over to his house,audio_generated/tts2024-03-13--08-38-57/we lit the lantern and walked over to his house.wav,4
112,jim became head of the draft board,gene became head of the draft board,audio_generated/tts2024-03-13--08-38-57/jim became head of the draft board.wav,4
113,he took the fourth part and handed it to the monk,he took the fourth part and handed it to the mod,audio_generated/tts2024-03-13--08-38-57/he took the fourth part and handed it to the monk.wav,2
114,maktub thought the boy,mac did thought the ball broke the ball,audio_generated/tts2024-03-13--08-38-57/maktub thought the boy.wav,22
115,exactly answered the alchemist,exactly answer the alchemist,audio_generated/tts2024-03-13--08-38-57/exactly answered the alchemist.wav,2
116,the airplane rose gracefully into the sky,the airplane rose gracefully into the scum,audio_generated/tts2024-03-13--08-38-57/the airplane rose gracefully into the sky.wav,3
117,its too bad that hes quickly going to forget my name he thought,its too bad that has quickly going to forget my name he thought,audio_generated/tts2024-03-13--08-38-57/its too bad that hes quickly going to forget my name he thought.wav,1
118,nobody wanted to discuss how we all ended up trapped in a giant lunchbox,not only wanted to discuss how we all ended up tracked in a giant lunch box,audio_generated/tts2024-03-13--08-38-57/nobody wanted to discuss how we all ended up trapped in a giant lunchbox.wav,7
119,nature knows me as the wisest being in creation the sun said,nature knows me as the voice is being in creation the suns sin,audio_generated/tts2024-03-13--08-38-57/nature knows me as the wisest being in creation the sun said.wav,9
120,like everybody learns he said,like everybody learns hes safe,audio_generated/tts2024-03-13--08-38-57/like everybody learns he said.wav,3
121,i know why i want to get back to my flock he thought,i know why i want to get back to my flocci thar,audio_generated/tts2024-03-13--08-38-57/i know why i want to get back to my flock he thought.wav,9
122,and because the tribes declared war i went to the well seeking the alchemist,and because the tribes declared war i went to the well seeking the alchemists,audio_generated/tts2024-03-13--08-38-57/and because the tribes declared war i went to the well seeking the alchemist.wav,1
123,she went over to the hospital to call on professor davis,she went over to the hospital to call on professor davis,audio_generated/tts2024-03-13--08-38-57/she went over to the hospital to call on professor davis.wav,0
124,he reached over and picked up a shell from the ground,he reached over and picked up a shell from the ground,audio_generated/tts2024-03-13--08-38-57/he reached over and picked up a shell from the ground.wav,0
125,i cant quite hear you,i cant quite hear you here,audio_generated/tts2024-03-13--08-38-57/i cant quite hear you.wav,5
126,maybe these desert birds could explain to him the meaning of love without ownership,maybe these desert birds could explain to him the meaning of love without ownership,audio_generated/tts2024-03-13--08-38-57/maybe these desert birds could explain to him the meaning of love without ownership.wav,0
127,but now the sounds inside had stopped,but now the sounds inside had stopped,audio_generated/tts2024-03-13--08-38-57/but now the sounds inside had stopped.wav,0
128,send those other people in,send those other people,audio_generated/tts2024-03-13--08-38-57/send those other people in.wav,3
129,thats a christmas present from a very dear friend of mine,thats a christmas present from a very dear friend of mine,audio_generated/tts2024-03-13--08-38-57/thats a christmas present from a very dear friend of mine.wav,0
130,maybe were all that way the boy mused,maybe you were all that way the boy knew used,audio_generated/tts2024-03-13--08-38-57/maybe were all that way the boy mused.wav,9
131,i want those stamps,ill those stamps,audio_generated/tts2024-03-13--08-38-57/i want those stamps.wav,5
132,he was just and good,he was just and ghost,audio_generated/tts2024-03-13--08-38-57/he was just and good.wav,3
133,we cant leave greg here,we cant leave great heat here,audio_generated/tts2024-03-13--08-38-57/we cant leave greg here.wav,7
134,rate a conflict of visions zero points,rate of conflict of visions dearal point,audio_generated/tts2024-03-13--08-38-57/rate a conflict of visions zero points.wav,7
135,they made the boy continue digging but he found nothing,they made the boy continue to gain what he found nothing,audio_generated/tts2024-03-13--08-38-57/they made the boy continue digging but he found nothing.wav,8
136,without the dataset the article is useless,without the dataset the article is useless,audio_generated/tts2024-03-13--08-38-57/without the dataset the article is useless.wav,0
137,i had seen all that it would presently bring me,i had seen all that it would presently bring in,audio_generated/tts2024-03-13--08-38-57/i had seen all that it would presently bring me.wav,2
138,i had to test your courage the stranger said,i had to test your courage to strain your say,audio_generated/tts2024-03-13--08-38-57/i had to test your courage the stranger said.wav,9
139,then he dropped his spade picked up his jacket and came out into the road,then he dropped his spade picked up his jacket and came out into the road,audio_generated/tts2024-03-13--08-38-57/then he dropped his spade picked up his jacket and came out into the road.wav,0
140,you dont have to be rich skinny popular or even own a cape to perform a random act of kindness,you dont have to be reach skinny popular or even on a cape to perform a random act of condiments,audio_generated/tts2024-03-13--08-38-57/you dont have to be rich skinny popular or even own a cape to perform a random act of kindness.wav,9
141,i dont want any part of this thing,i dont want any part of this space,audio_generated/tts2024-03-13--08-38-57/i dont want any part of this thing.wav,5
142,he was learning a lot of new things,he was learning a lot of new things,audio_generated/tts2024-03-13--08-38-57/he was learning a lot of new things.wav,0
143,the boy turned to the hand that wrote all,the boy turned to the hand that wrote all,audio_generated/tts2024-03-13--08-38-57/the boy turned to the hand that wrote all.wav,0
144,how are the weights computed,how are the weights computed,audio_generated/tts2024-03-13--08-38-57/how are the weights computed.wav,0
145,but the king of salem hoped desperately that the boy would be successful,but the king of salem hoped desperately that the boy would be successful,audio_generated/tts2024-03-13--08-38-57/but the king of salem hoped desperately that the boy would be successful.wav,0
146,then he realized that he had been distracted for a few moments looking at the sword,then he realized that he had been distracted for a few moments looking at the sword,audio_generated/tts2024-03-13--08-38-57/then he realized that he had been distracted for a few moments looking at the sword.wav,0
147,the boy looked around him at the date palms,the boy looked around him at the date pump,audio_generated/tts2024-03-13--08-38-57/the boy looked around him at the date palms.wav,3
148,and its not love to see everything from a distance like you do,and its not love to see everything from a distance like you did,audio_generated/tts2024-03-13--08-38-57/and its not love to see everything from a distance like you do.wav,2
149,the problem is that they dont even realize that theyre walking a new road every day,the problem is that they dont even realize that theyre walking a new road every day,audio_generated/tts2024-03-13--08-38-57/the problem is that they dont even realize that theyre walking a new road every day.wav,0
150,i was right there and saw it with my own eyes,i was right there and saw it with my own eyes,audio_generated/tts2024-03-13--08-38-57/i was right there and saw it with my own eyes.wav,0
151,meanwhile the old man persisted in his attempt to strike up a conversation,meet while the old man persisted in his attempt to strike up a conversation,audio_generated/tts2024-03-13--08-38-57/meanwhile the old man persisted in his attempt to strike up a conversation.wav,3
152,im going out and find them,in going out and find them,audio_generated/tts2024-03-13--08-38-57/im going out and find them.wav,1
153,i have known true alchemists the alchemist continued,i have known true at chemist the alchemist continue,audio_generated/tts2024-03-13--08-38-57/i have known true alchemists the alchemist continued.wav,4
154,revenge is not my style but obviously accidents will happen,revenge is not my style but obviously accidents will happen,audio_generated/tts2024-03-13--08-38-57/revenge is not my style but obviously accidents will happen.wav,0
155,i told you that your dream was a difficult one,i told you that your dream was a difficult one,audio_generated/tts2024-03-13--08-38-57/i told you that your dream was a difficult one.wav,0
156,did you find it,did you find it 8,audio_generated/tts2024-03-13--08-38-57/did you find it.wav,2
157,i wish i could go back to the hospital,i wish i could go back to the hospital,audio_generated/tts2024-03-13--08-38-57/i wish i could go back to the hospital.wav,0
158,i heard what you were talking about the other day with the alchemist the wind said,i heard what you were talking about the other day with the lcam is the wines say,audio_generated/tts2024-03-13--08-38-57/i heard what you were talking about the other day with the alchemist the wind said.wav,9
159,shoot through the desk,chief for the dest,audio_generated/tts2024-03-13--08-38-57/shoot through the desk.wav,11
160,the boy began to dig into the dune,the ball began to dig into the j,audio_generated/tts2024-03-13--08-38-57/the boy began to dig into the dune.wav,7
161,there were really i think two or three hundred people elbowing one another,there were really a think 2 war 300 people l boeing 1 and another,audio_generated/tts2024-03-13--08-38-57/there were really i think two or three hundred people elbowing one another.wav,25
162,why dont you fellows get your own news,why dont you fellas get your own new news,audio_generated/tts2024-03-13--08-38-57/why dont you fellows get your own news.wav,6
163,the conversation was interrupted by the warehouse boss,the conversation was interpreted by the warehouse boss,audio_generated/tts2024-03-13--08-38-57/the conversation was interrupted by the warehouse boss.wav,3
164,ill tell you why they did it,will tell you why they did it,audio_generated/tts2024-03-13--08-38-57/ill tell you why they did it.wav,1
165,the burning fire had been extinguished,the burning fire had been extinguished,audio_generated/tts2024-03-13--08-38-57/the burning fire had been extinguished.wav,0
166,the years of research the magic symbols the strange words and the laboratory equipment,the years of research the magic symbols the strange words and the laboratory equipment,audio_generated/tts2024-03-13--08-38-57/the years of research the magic symbols the strange words and the laboratory equipment.wav,0
167,promise youll never lie the way snoopy did,promise youll never lie the way some p did,audio_generated/tts2024-03-13--08-38-57/promise youll never lie the way snoopy did.wav,5
168,it seems old and wise,it seems old and wise,audio_generated/tts2024-03-13--08-38-57/it seems old and wise.wav,0
169,help me find them,help me find them,audio_generated/tts2024-03-13--08-38-57/help me find them.wav,0
170,it always gets me right here,it always gets me right he heat,audio_generated/tts2024-03-13--08-38-57/it always gets me right here.wav,4
171,a thin circle of bright metal showed between the top and the body of the cylinder,a thin circle of bright metal showed between the top and the body of the sillon,audio_generated/tts2024-03-13--08-38-57/a thin circle of bright metal showed between the top and the body of the cylinder.wav,7
172,i never saw her before,i never saw her before,audio_generated/tts2024-03-13--08-38-57/i never saw her before.wav,0
173,and better still to be alone with ones books,and better still to be alone with ones books,audio_generated/tts2024-03-13--08-38-57/and better still to be alone with ones books.wav,0
174,the old man returned the book to the boy,the old man returned the book to the book,audio_generated/tts2024-03-13--08-38-57/the old man returned the book to the boy.wav,2
175,and i think its terrific,and i think its terrific,audio_generated/tts2024-03-13--08-38-57/and i think its terrific.wav,0
176,he felt unsafe like during his first lesson in driving school,he felt unsafe like during his first lesson in driving school,audio_generated/tts2024-03-13--08-38-57/he felt unsafe like during his first lesson in driving school.wav,0
177,what are these things he asked,what are these things he asked,audio_generated/tts2024-03-13--08-38-57/what are these things he asked.wav,0
178,do i knock or something,do i knock or something,audio_generated/tts2024-03-13--08-38-57/do i knock or something.wav,0
179,but it is not a class that was requested by our alumni or prospective students,but it is not a class that was requested by our alumni or prospective students,audio_generated/tts2024-03-13--08-38-57/but it is not a class that was requested by our alumni or prospective students.wav,0
180,the time must have been somewhere around six oclock,the time must have been somewhere around 6 oclock,audio_generated/tts2024-03-13--08-38-57/the time must have been somewhere around six oclock.wav,3
181,monday morning at five oclock,monday morning at 5 oclock,audio_generated/tts2024-03-13--08-38-57/monday morning at five oclock.wav,4
182,you can have as many babies as you like,you can have as many babies as you like,audio_generated/tts2024-03-13--08-38-57/you can have as many babies as you like.wav,0
183,ill always let you down,always lick you dead,audio_generated/tts2024-03-13--08-38-57/ill always let you down.wav,10
184,the basketball bounced off his shield of titanium,the basketball bounced off his shield of titanium,audio_generated/tts2024-03-13--08-38-57/the basketball bounced off his shield of titanium.wav,0
185,but you dont know about love,but you dont know about love,audio_generated/tts2024-03-13--08-38-57/but you dont know about love.wav,0
186,have trusted more in your love for fatima,have trusted more and youll love for fathom,audio_generated/tts2024-03-13--08-38-57/have trusted more in your love for fatima.wav,7
187,throughout the night the boy dug at the place he had chosen but found nothing,for all the night the boy dig at the place he had chosen but found nothing,audio_generated/tts2024-03-13--08-38-57/throughout the night the boy dug at the place he had chosen but found nothing.wav,10
188,so then try he said to the englishman,so then try he said to the englishen,audio_generated/tts2024-03-13--08-38-57/so then try he said to the englishman.wav,2
189,why do you think i brought you here,why do you think i brought you here here,audio_generated/tts2024-03-13--08-38-57/why do you think i brought you here.wav,5
190,until my wing went bad,until my win went bad,audio_generated/tts2024-03-13--08-38-57/until my wing went bad.wav,1
191,all that time the martians must have been getting ready,all that time the martians must have been getting ready,audio_generated/tts2024-03-13--08-38-57/all that time the martians must have been getting ready.wav,0
192,did she solve the riddle all by herself,did she solve the redill all by herself,audio_generated/tts2024-03-13--08-38-57/did she solve the riddle all by herself.wav,3
193,ive learned things from the sheep and ive learned things from crystal he thought,ive learned things from the sheep and ive learned things from crystal he thought,audio_generated/tts2024-03-13--08-38-57/ive learned things from the sheep and ive learned things from crystal he thought.wav,0
